miejsce,numer,name,kraj,miejscowosc,team,plec,kat,swim,T1,bike,T2,run,czas
13,127,PLUTA GNIEWOMIR,POL,BYDGOSZCZ,UKS TRS SUSZ,M,M30-39,00:14:40,00:01:08,01:10:57,00:00:51,00:44:33,02:12:09
14,137,ZIENKIEWICZ JANUSZ,POL,BYDGOSZCZ,TRISPACE / ALLIANZ TRIATHLON TEAM,M,M40-49,00:15:13,00:01:12,01:12:02,00:00:46,00:43:27,02:12:40
15,178,NOWAK ROMAN,POL,CZŁUCHÓW,ENDURE TEAM,M,M30-39,00:17:22,00:00:54,01:09:30,00:00:57,00:44:17,02:13:00
16,332,ANDRZEJEWSKI MARCIN,POL,BYDGOSZCZ,8BREM,M,M30-39,00:16:54,00:01:03,01:08:56,00:01:56,00:44:24,02:13:13
17,282,TOPCZEWSKI GRACJAN,POL,BYDGOSZCZ,TRISPACE/BYDGOSZCZ TRIATHLON TEAM,M,M40-49,00:16:02,00:01:00,01:10:24,00:00:59,00:44:58,02:13:23
18,121,NOWAK WOJCIECH,POL,RUDA ŚLĄSKA,3DVSN,M,M40-49,00:15:12,00:01:09,01:11:52,00:00:49,00:45:08,02:14:10
19,247,JABŁOŃSKI JAROSŁAW,POL,ZIELEŃ,UKS TRS SUSZ,M,M40-49,00:17:29,00:01:26,01:13:08,00:00:56,00:41:32,02:14:31
20,94,SZREDER DAWID,POL,CHOJNICE,ROWERY DAVEBIKES/ TRIPAKA,M,M40-49,00:17:03,00:01:00,01:11:17,00:00:44,00:44:47,02:14:51
21,190,BONIKOWSKI JAKUB,POL,GRUDZIĄDZ,TRISPACE,M,M40-49,00:16:32,00:01:19,01:09:54,00:00:52,00:47:34,02:16:11
22,273,WILANDT KONRAD,POL,GDYNIA,GDYŃSKI TRIATHLON,M,M30-39,00:16:21,00:01:17,01:12:52,00:01:25,00:44:17,02:16:12
23,342,LITWIEJKO PRZEMYSŁAW,POL,PIŁA,,M,M18-29,00:19:11,00:01:36,01:26:28,00:02:32,00:26:48,02:16:35
24,110,KUŚ ADAM,POL,POZNAŃ,UKS CITYZEN_/BE3,M,M18-29,00:18:17,00:01:15,01:13:42,00:01:02,00:42:20,02:16:36
25,4,JAŻDZIEWSKI DAWID,POL,CHOJNICE,TRI TUR CHOJNICE,M,M18-29,00:17:56,00:01:29,01:13:47,00:00:56,00:43:09,02:17:17
26,283,BEDNAREK WALDEMAR,POL,WTELNO,WAMP - MJ RUNNING TEAM,M,M40-49,00:21:48,00:01:43,01:25:02,00:02:03,00:27:42,02:18:18
27,17,WIECZORKOWSKI ADRIAN,POL,GDAŃSK,BIALL,M,M40-49,00:16:14,00:01:39,01:13:54,00:01:05,00:45:43,02:18:35
28,20,PETEREK ANNA,POL,POZNAŃ,BB RUNNERS/LOCOPRINT TEAM,K,K18-29,00:14:33,00:01:06,01:15:59,00:00:54,00:46:20,02:18:52
29,239,WIECZORKOWSKI ADAM,POL,GDAŃSK,,M,M18-29,00:16:44,00:02:16,01:13:54,00:01:09,00:44:49,02:18:52
30,102,POLICZKIEWICZ MACIEJ,POL,WARZYMICE,,M,M30-39,00:16:30,00:01:36,01:14:07,00:01:12,00:46:20,02:19:45
31,172,BŁONIARZ MIROSŁAW,POL,SZCZECIN,PUSZCZYK BUKOWY SZCZECIN,M,M40-49,00:17:23,00:01:27,01:13:50,00:00:45,00:46:21,02:19:46
32,221,GIERASIMCZYK RAFAŁ,POL,MORĄG,PAN,M,M18-29,00:16:03,00:01:19,01:15:22,00:01:08,00:46:16,02:20:08
33,66,WOJCIECHOWSKI JAROSŁAW,POL,ŚWINOUJŚCIE,TEAM WOJCIECHOWSKI,M,M40-49,00:18:05,00:01:24,01:19:51,00:00:53,00:40:26,02:20:39
34,198,BISKUPSKI CEZARY,POL,BYDGOSZCZ,TRISPACE,M,M30-39,00:18:47,00:01:28,01:12:19,00:01:29,00:46:54,02:20:57
35,37,CHOLEWIŃSKI DARIUSZ,POL,BYDGOSZCZ,HURAGAN MIEDZYŃ,M,M40-49,00:19:11,00:01:17,01:16:22,00:00:55,00:43:41,02:21:26
36,36,PIETRASIK PRZEMYSŁAW,POL,SŁUPSK,,M,M30-39,00:17:02,00:01:07,01:13:40,00:01:26,00:48:15,02:21:30
37,320,JANKOWSKI TOMASZ,POL,BYDGOSZCZ,TRISPACE,M,M40-49,00:17:49,00:01:14,01:16:06,00:01:20,00:45:28,02:21:57
38,352,MARTYNOWICZ MICHAŁ,POL,BRZOZA,TRISPACE,M,M40-49,00:14:38,00:01:01,01:15:52,00:00:49,00:49:38,02:21:58
39,30,PRĄDZYŃSKI MARCIN,POL,BYDGOSZCZ,TRISPACE,M,M40-49,00:15:45,00:01:06,01:16:32,00:00:58,00:47:42,02:22:03
40,377,TAUCHERT DARIUSZ,POL,KAMIONKI,TADAR TEAM,M,M50-59,00:15:54,00:01:23,01:16:24,00:03:11,00:45:42,02:22:34
41,108,JAHNZ KAROLINA,POL,STARGARD,KUJAVIA3TEAM,K,K30-39,00:14:43,00:01:03,01:17:41,00:00:49,00:48:25,02:22:41
42,293,SWOREK DAWID,POL,POZNAN,EUROKOS,M,M30-39,00:15:44,00:01:08,01:16:38,00:00:47,00:49:04,02:23:21
43,136,BORYCKI MARCIN,POL,KOSAKOWO,,M,M40-49,00:17:21,00:02:13,01:13:10,00:01:01,00:50:04,02:23:49
44,249,KURAJ ROBERT,POL,BIELSKO-BIAŁA,,M,M18-29,00:18:21,00:01:54,01:14:50,00:01:13,00:47:48,02:24:06
45,347,RĘBISZ MICHAŁ,POL,GRUTA 251,RAK'N'ROLL WYGRAJ ŻYCIE,M,M30-39,00:20:27,00:01:20,01:12:31,00:01:10,00:48:55,02:24:23
46,151,PODSIADŁO PAWEŁ,POL,POZNAŃ,,M,M30-39,00:15:40,00:01:42,01:17:03,00:00:47,00:49:13,02:24:25
47,242,CIERNIAK KRZYSZTOF,POL,ZALASEWO,1968,M,M50-59,00:17:29,00:01:31,01:19:48,00:01:24,00:44:27,02:24:39
48,197,KOBUS TOMASZ,POL,BYTÓW-RZEPNICA,TRI TEAM BYTÓW,M,M30-39,00:21:08,00:02:19,01:18:44,00:01:18,00:42:33,02:26:02
49,90,MULLERT KAROL,POL,BYDGOSZCZ,TRISPACE,M,M30-39,00:16:58,00:01:52,01:15:57,00:01:11,00:50:07,02:26:05
50,26,SAWIEŁAJC JAKUB,POL,BYDGOSZCZ,FUJI KRYSPORT TEAM,M,M18-29,00:15:18,00:01:20,01:16:50,00:01:26,00:51:26,02:26:20
51,160,CHODOR MARTYNA,POL,KOSZALIN,TKKF KOSZALIN,K,K30-39,00:16:01,00:01:17,01:16:56,00:01:04,00:51:04,02:26:22
52,305,KUCZKOWSKI MICHAL,POL,BYTÓW,TRI TEAM BYTÓW,M,M30-39,00:19:06,00:01:40,01:16:28,00:00:59,00:48:20,02:26:33
53,187,DROST ROBERT,POL,GDYNIA,TEAM KARAŚ,M,M30-39,00:19:13,00:02:03,01:16:51,00:00:49,00:48:08,02:27:04
54,152,BUCZKO DARIUSZ,POL,PRZECHLEWO,TRIPAKA PRZECHLEWO,M,M18-29,00:17:28,00:01:37,01:19:40,00:00:50,00:47:42,02:27:17
55,45,BOCIAN MACIEJ,POL,CHARZYKOWY,,M,M30-39,00:19:08,00:01:24,01:18:21,00:00:52,00:47:56,02:27:41
56,167,KOZAK GRZEGORZ,POL,KOSZALIN,,M,M40-49,00:18:49,00:02:14,01:14:16,00:01:34,00:51:02,02:27:55
57,59,BRESKA WITOLD,POL,KOŚCIERZYNA-STARE NADLEŚNICTWO,KSR TEAM,M,M40-49,00:18:33,00:01:44,01:15:17,00:01:19,00:51:07,02:28:00
58,111,SZCZESZEK ŁUKASZ,POL,POZNAŃ,,M,M30-39,00:20:42,00:02:23,01:17:47,00:01:10,00:46:08,02:28:10
59,220,TROŚNIAK PIOTR,POL,BIAŁOGARD,,M,M40-49,00:15:45,00:01:32,01:18:35,00:01:37,00:50:52,02:28:21
60,129,BIGOSZEWSKI TOMASZ,POL,NOWY TARG,NOWY TARG RUNNERS,M,M40-49,00:19:18,00:02:19,01:19:09,00:01:35,00:46:04,02:28:25
61,267,KWIATKOWSKI KRZYSZTOF,POL,TARNOWO PODGÓRNE,ZGRUPKA TEAM,M,M40-49,00:20:12,00:00:00,01:16:18,00:01:37,00:50:23,02:28:30
62,277,PIERZCHLEWICZ KRZYSZTOF,POL,POZNAN,GWIAZDOWSKI TRIATHLON TEAM,M,M30-39,00:19:28,00:01:36,01:19:21,00:01:25,00:46:46,02:28:36
63,225,ANTKOWIAK BARTOSZ,POL,BYDGOSZCZ,TRISPACE / TCMS PESA BYDGOSZCZ,M,M30-39,00:19:20,00:01:16,01:18:32,00:00:51,00:48:44,02:28:43
64,145,SZOTA ROBERT,POL,SZCZECIN,SMT SZCZECIN,M,M30-39,00:14:09,00:01:05,01:19:39,00:01:07,00:53:02,02:29:02
65,175,ŁUKASZCZUK GRZEGORZ,POL,ROKIETNICA,DARE2TRI,M,M30-39,00:18:25,00:01:47,01:18:07,00:01:12,00:49:36,02:29:07
66,266,BRUKWIŃSKA MARTA,POL,KOŚCIAN,TGV CLUB/SOLEUS,K,K18-29,00:16:55,00:01:13,01:16:30,00:01:02,00:53:34,02:29:14
67,217,SZYMONEK MIROSŁAW,POL,ZŁOTORYJA,OLAWS ZŁOTORYJA,M,M60-69,00:20:32,00:02:02,01:14:54,00:01:29,00:50:20,02:29:17
68,196,WYSMOLIŃSKI RAFAŁ,POL,BIERNATKI,,M,M40-49,00:18:00,00:01:52,01:19:54,00:01:21,00:48:22,02:29:29
69,275,BONIECKI PIOTR,POL,PIASECZNO,SILVINI-MEANDER,M,M40-49,00:17:09,00:01:44,01:17:14,00:01:18,00:52:16,02:29:41
70,219,POLLEY ADAM,POL,ŁOBŻENICA,"LZS ""JEDNOŚĆ"" ŁOBŻENICA",M,M30-39,00:20:27,00:02:19,01:17:44,00:01:43,00:47:31,02:29:44
71,19,KŁOPOCKI JAKUB,POL,POZNAŃ,I-SPORT,M,M30-39,00:18:25,00:01:48,01:19:03,00:01:02,00:49:28,02:29:46
72,124,SPICZAK-BRZEZIŃSKI MICHAŁ,POL,JASIN,SENSETRI,M,M30-39,00:19:30,00:01:53,01:15:00,00:00:56,00:52:52,02:30:11
73,149,GOŁDYN MAREK,POL,KOSZALIN,TKKF KOSZALIN,M,M30-39,00:16:51,00:01:41,01:21:26,00:00:54,00:49:19,02:30:11
74,105,WOREK PAWEŁ,POL,CIESZYN,GIBIEC TEAM,M,M40-49,00:18:45,00:01:51,01:18:28,00:01:11,00:50:02,02:30:17
75,335,OWCZARZAK PIOTR,POL,POZNAŃ,KKS SPORTY WALKI POZNAŃ,M,M30-39,00:16:03,00:02:12,01:19:59,00:01:21,00:50:54,02:30:29
76,356,DAJCZER RAFAŁ,POL,WARSZAWA,ENDLESS PAIN,M,M40-49,00:18:01,00:01:59,01:23:25,00:01:33,00:45:39,02:30:37
77,128,DALESZYŃSKI JACEK,POL,SZCZECIN,,M,M40-49,00:16:23,00:01:26,01:19:22,00:01:17,00:52:42,02:31:10
78,269,WASIAK TOMASZ,POL,ELBLAG,WANIEWSKI COACHING,M,M30-39,00:17:26,00:02:43,01:19:52,00:01:23,00:49:57,02:31:21
79,107,SŁOMKA MACIEJ,POL,BYDGOSZCZ,"MOŻE I POWOLI, ALE ZA TO BYLE JAK",M,M30-39,00:20:48,00:02:19,01:16:37,00:01:26,00:50:14,02:31:24
80,51,KIEŁCZYŃSKI ANDRZEJ,POL,BYDGOSZCZ,HUBSTA,M,M30-39,00:18:09,00:01:24,01:19:56,00:01:14,00:51:02,02:31:45
81,34,JAKUBOWSKI LESŁAW,POL,GRYFINO,WEGANIE TEAM,M,M60-69,00:19:41,00:02:25,01:14:44,00:01:10,00:53:51,02:31:51
82,91,KOLANKOWSKI WALDEMAR,POL,TORUŃ,,M,M50-59,00:17:50,00:02:21,01:18:53,00:01:34,00:51:45,02:32:23
83,211,CHOJNOWSKI ANDRZEJ,POL,IŁAWA,,M,M50-59,00:19:37,00:02:14,01:17:36,00:01:10,00:51:50,02:32:27
84,87,ZACHWIEJA PIOTR,POL,BYDGOSZCZ,,M,M30-39,00:19:39,00:01:54,01:18:10,00:01:16,00:51:45,02:32:44
85,176,ZADALA MATEUSZ,POL,MASZEWO,,M,M18-29,00:20:45,00:02:13,01:21:29,00:01:17,00:47:07,02:32:51
86,173,MENDEL MAGDALENA,POL,BYDGOSZCZ,TRISPACE,K,K18-29,00:19:05,00:01:52,01:20:37,00:00:58,00:50:22,02:32:54
87,7,LASKOWSKI WALDEMAR,POL,LUBISZEWO,SOSNOWA,M,M40-49,00:17:37,00:02:06,01:21:23,00:01:39,00:50:16,02:33:01
88,325,LESIAK BARTOSZ,POL,POZNAŃ,,M,M30-39,00:19:15,00:01:33,01:20:04,00:01:01,00:51:30,02:33:23
89,260,PUSZ MATEUSZ,POL,GDAŃSK,COMPLEXSPORTS,M,M40-49,00:18:11,00:01:37,01:23:39,00:01:45,00:48:33,02:33:45
90,24,POPŁAWSKI KRZYSZTOF,POL,SWARZĘDZ,,M,M30-39,00:20:35,00:02:38,01:20:12,00:01:30,00:49:09,02:34:04
91,248,GIBIEC KINGA,POL,CIESZYN,I-SPORT,K,K18-29,00:16:02,00:01:42,01:23:39,00:00:59,00:51:56,02:34:18
92,65,LISIECKI JACEK,POL,NIEMCZ,,M,M40-49,00:21:01,00:02:31,01:18:07,00:01:09,00:51:39,02:34:27
93,209,ŁUGOWSKI TOMASZ,POL,BYDGOSZCZ,BIL,M,M40-49,00:19:20,00:02:31,01:18:51,00:01:25,00:52:23,02:34:30
94,25,KACZMARCZYK BOGDAN,POL,MUROWANA GOŚLINA,KB GEPARD MUROWANA GOŚLINA,M,M30-39,00:17:41,00:02:01,01:20:39,00:01:27,00:52:45,02:34:33
95,324,OSOJCA MATEUSZ,POL,SZCZECIN,PUSZCZYK BUKOWY,M,M30-39,00:19:10,00:02:28,01:25:17,00:01:32,00:46:24,02:34:51
96,82,GRUBA MAREK,POL,BRZOZA,,M,M30-39,00:18:41,00:02:02,01:20:00,00:01:29,00:53:18,02:35:30
97,292,ODEJEWSKI DARIUSZ,POL,CHOJNICE,CANPOL TRITEAM,M,M30-39,00:21:45,00:01:40,01:18:10,00:01:05,00:53:09,02:35:49
98,224,MUCHA ALEKSANDER,POL,WŁOCŁAWEK,WŁOCŁAWEK TRIATHLON TEAM / BHP-ADR.PL,M,M30-39,00:18:49,00:02:59,01:24:26,00:00:59,00:48:40,02:35:53
99,336,KAŹMIERSKI MARCIN,POL,SZCZECIN,MTR SZCZECIN TEAM,M,M40-49,00:18:27,00:02:06,01:16:12,00:01:25,00:57:54,02:36:04
100,343,CZUBAJ BARTOSZ,POL,SIANÓW,BAD-TECH,M,M30-39,00:21:26,00:01:41,01:17:16,00:01:42,00:54:03,02:36:08
101,16,GUZIKIEWICZ MIROSŁAW,POL,GOLENIÓW,ROZBIEGANY GOLENIÓW,M,M40-49,00:19:12,00:02:01,01:19:05,00:01:49,00:54:14,02:36:21
102,119,JANOWCZYK DOMINIK,POL,CZŁUCHÓW,,M,M18-29,00:17:02,00:02:18,01:21:52,00:01:24,00:53:52,02:36:28
103,76,DEJNAROWICZ PIOTR,POL,POGÓRZE,3ATHLETE,M,M40-49,00:18:46,00:02:09,01:23:23,00:01:08,00:51:03,02:36:29
104,333,NOWAK DAWID,POL,POZNAŃ,TRICERATOPS,M,M30-39,00:18:20,00:01:32,01:21:20,00:01:26,00:54:03,02:36:41
105,210,BEDNAREK PATRYCJA,POL,BYDGOSZCZ,TRISPACE,K,K30-39,00:18:58,00:01:13,01:19:50,00:00:56,00:55:49,02:36:46
106,215,GIERASIMCZYK STANISŁAW,POL,MORĄG,CTS CZAJA TRAINING SYSTEM,M,M60-69,00:17:37,00:01:56,01:21:24,00:01:42,00:54:09,02:36:48
107,205,BYZDRA KRZYSZTOF,POL,CHWASZCZYNO,BBL GDAŃSK,M,M40-49,00:19:42,00:01:14,01:21:51,00:01:10,00:52:57,02:36:54
108,340,STOLINSKI DOMINIK,POL,POZNAN,VEGE RUNNERS,M,M40-49,00:20:53,00:01:34,01:17:18,00:01:45,00:55:41,02:37:11
109,188,KUDREWICZ MIREK,POL,GDAŃSK,SILCO,M,M50-59,00:20:25,00:01:24,01:18:45,00:01:16,00:55:33,02:37:23
110,276,KUBIELSKI BARTOSZ,POL,WARSZAWA,MEANDER-SILVINI,M,M40-49,00:20:18,00:01:54,01:21:06,00:01:14,00:53:02,02:37:34
111,13,SZCZERBA MACIEJ,POL,NIEMCZ,FORTRIFIVE,M,M40-49,00:19:05,00:01:28,01:21:09,00:01:24,00:54:59,02:38:05
112,55,FIEGEL WOJCIECH,POL,BYDGOSZCZ,TRISPACE,M,M40-49,00:19:11,00:01:34,01:16:33,00:01:35,00:59:24,02:38:17
113,227,WEBER PAWEŁ,POL,PSARSKIE,REHAU CROSSACTIVE,M,M40-49,00:19:43,00:02:39,01:21:33,00:01:42,00:52:43,02:38:20
114,27,STĘPIEŃ KAROL,POL,CHOJNICE,,M,M30-39,00:21:52,00:02:29,01:23:24,00:01:16,00:49:26,02:38:27
115,350,PATEREK MACIEJ,POL,CHARZYKOWY,,M,M40-49,00:21:35,00:02:16,01:17:44,00:01:40,00:55:28,02:38:43
116,1,WOJDYŁO DANIEL,POL,LUBISZEWO,SOSNOWA,M,M40-49,00:21:13,00:02:11,01:23:02,00:01:31,00:50:54,02:38:51
117,334,MIECZKOWSKI MICHAŁ,POL,KOŁOBRZEG,KTC KOŁOBRZEG,M,M60-69,00:17:26,00:01:21,01:21:04,00:01:08,00:57:54,02:38:53
118,32,DZIUBA SŁAWOMIR,POL,CHOJNICZKI,TRITUR CHOJNICE,M,M40-49,00:20:26,00:01:45,01:21:31,00:01:14,00:54:17,02:39:13
119,31,PIEKARSKI WOJCIECH,POL,BYDGOSZCZ,TMS,M,M40-49,00:18:49,00:01:42,01:22:44,00:01:47,00:54:19,02:39:21
120,237,TRUSKOLAWSKA OLA,POL,GDYNIA,"BIEGAMYRAZEM.PL, LANGE TRI COACH",K,K40-49,00:21:05,00:01:46,01:22:05,00:01:24,00:53:01,02:39:21
121,326,MARKOWSKI MIKOŁAJ,POL,CHOJNICZKI,,M,M30-39,00:20:39,00:01:53,01:20:09,00:01:11,00:55:36,02:39:28
122,132,BATRUCH LUKASZ,POL,SLUPSK,,M,M40-49,00:18:16,00:01:49,01:26:21,00:01:09,00:51:57,02:39:32
123,238,BIESIADA TOMASZ,POL,BYDGOSZCZ,TRISPACE / CLASSEN TEAM,M,M40-49,00:18:16,00:02:16,01:21:13,00:01:49,00:55:59,02:39:33
124,106,BRODZIAK GRZEGORZ,POL,PRZECHLEWO,TRIPAKA PRZECHLEWO,M,M50-59,00:20:26,00:01:35,01:19:09,00:01:18,00:57:12,02:39:40
125,122,DALESZYŃSKI MICHAŁ,POL,SZCZECIN,POGODNO,M,M30-39,00:19:21,00:02:12,01:20:39,00:01:12,00:56:22,02:39:46
126,207,HORODNICZY MARIUSZ,POL,ŁÓDŹ,PHILIPS SPORT TEAM ŁÓDŹ,M,M30-39,00:18:13,00:02:05,01:15:54,00:01:16,01:02:25,02:39:53
127,345,ROSA GRZEGORZ,POL,LUZINO,OMEGA FITNESS&GYM LUZINO,M,M30-39,00:19:52,00:02:00,01:26:20,00:02:16,00:49:25,02:39:53
128,46,UROWSKI WOJCIECH,POL,CHARZYKOWY,TRI TUR CHOJNICE/TOTALNIE BIEGNIĘCI,M,M40-49,00:20:14,00:02:05,01:24:37,00:01:37,00:51:56,02:40:29
129,53,BAŁA ARTUR,POL,BYDGOSZCZ,,M,M30-39,00:20:35,00:01:44,01:22:49,00:01:29,00:54:01,02:40:38
130,314,SWAT JACEK,POL,PRZEŹMIEROWO,SWAT TEAM,M,M50-59,00:17:04,00:01:46,01:19:45,00:01:39,01:00:31,02:40:45
131,52,KAK MARCIN,POL,BYDGOSZCZ,,M,M30-39,00:18:41,00:01:37,01:24:53,00:01:34,00:54:01,02:40:46
132,153,CIESLA DAWID,POL,RABIEN,AGB TORFY,M,M40-49,00:21:54,00:03:24,01:20:59,00:02:20,00:52:23,02:41:00
133,118,GŁOWACKI MICHAŁ,POL,GDAŃSK,,M,M30-39,00:17:31,00:01:55,01:21:44,00:01:16,00:58:46,02:41:12
134,72,NOWAK ADRIAN,POL,POBIEDZISKA,POBIEDZISKA RACING TEAM,M,M40-49,00:18:08,00:01:09,01:21:57,00:01:13,00:59:04,02:41:31
135,50,SOBKOWIAK MACIEJ,POL,KROTOSZYN,KS KROTOSZ KROTOSZYN,M,M30-39,00:19:51,00:01:54,01:26:54,00:01:21,00:51:57,02:41:57
136,169,FLEISZAR TYMOTEUSZ,POL,GRUSZCZYN-POLAND,ATIMEX.BY /WOJTOWICZ TRI TEAM,M,M40-49,00:19:43,00:01:54,01:21:05,00:02:28,00:56:49,02:41:59
137,77,SZULTKA TOMASZ,POL,CHOJNICE,CANPOL TRITEAM,M,M30-39,00:19:12,00:02:15,01:23:11,00:01:27,00:55:55,02:42:00
138,6,KUJAWSKI KRZYSZTOF,POL,CHOJNICE,,M,M40-49,00:18:23,00:01:54,01:27:40,00:00:47,00:53:25,02:42:09
139,349,REMBALSKA ROMANA,POL,KAMIONKI,TADAR TEAM,K,K40-49,00:17:59,00:01:46,01:22:04,00:01:23,00:59:29,02:42:41
140,331,LEŚNIEWSKI TOMASZ,POL,POZNAŃ,,M,M50-59,00:20:35,00:01:53,01:30:43,00:01:12,00:48:21,02:42:44
141,114,STOLTMAN DANKA,POL,MAŁE ZANIE,TRI TUR CHOJNICE,K,K18-29,00:19:52,00:02:50,01:19:49,00:01:27,00:59:47,02:43:45
142,203,PRZEWŁOCKI JAKUB,POL,BYDGOSZCZ,KLINIKA TRIATHLONU BYDGOSZCZ,M,M30-39,00:19:51,00:02:18,01:28:21,00:01:39,00:51:52,02:44:01
143,308,WERYK TOMASZ,POL,BEZRZECZE,WIECZORNE BIEGANIE W SZCZECINIE,M,M40-49,00:21:01,00:02:01,01:22:43,00:01:52,00:56:34,02:44:11
144,362,MILLER BARTOSZ,POL,GDAŃSK,,M,M30-39,00:18:30,00:03:08,01:23:59,00:02:20,00:56:14,02:44:11
145,306,BIELSKI MARCIN,POL,WARSZAWA,,M,M30-39,00:21:31,00:01:14,01:26:45,00:01:27,00:53:16,02:44:13
146,103,SCHÖKE KARSTEN,GER,FRANKFURT (ODER),MSV TRIPOINT,M,M50-59,00:19:29,00:02:32,01:22:49,00:01:37,00:57:48,02:44:15
147,22,TRZECIAK DARIUSZ,POL,KOŁOBRZEG,KOŁOBRZEG MARATON TEAM,M,M50-59,00:21:30,00:02:29,01:28:35,00:01:10,00:51:06,02:44:50
148,146,PUSZ JANUSZ,POL,SZCZECIN,UMBRELLA TRIATLON TEAM,M,M30-39,00:17:36,00:02:08,01:24:08,00:01:29,00:59:36,02:44:57
149,262,KAZUBOWSKI JACEK,POL,BIAŁE BŁOTA,1967,M,M50-59,00:25:37,00:02:00,01:23:24,00:01:51,00:52:13,02:45:05
150,14,KITKOWSKI MACIEJ,POL,OSIELSKO,CA EFL,M,M40-49,00:19:06,00:01:58,01:22:22,00:01:16,01:00:42,02:45:24
151,159,BUCZKO KRZYSZTOF,POL,PRZECHLEWO,TRIPAKA PRZECHLEWO,M,M18-29,00:21:31,00:01:39,01:25:31,00:01:19,00:55:36,02:45:36
152,33,BEZULSKI MICHAŁ,POL,GORZÓW WLKP.,CT CADET,M,M40-49,00:18:50,00:01:49,01:22:33,00:01:26,01:01:19,02:45:57
153,258,ŻYLEWICZ MATEUSZ,POL,GDAŃSK,DREAM TRI TEAM,M,M30-39,00:14:22,00:01:56,01:27:49,00:01:24,01:00:56,02:46:27
154,186,GRUGEL ARTUR,POL,CHOJNICE,TRU TUR CHOJNICE - CORSIVA,M,M40-49,00:18:43,00:01:48,01:17:01,00:02:01,01:07:14,02:46:47
155,222,RYMARKIEWICZ MAŁGORZATA,POL,BYDGOSZCZ,KLINIKA TRIATHLONU,K,K30-39,00:22:08,00:01:52,01:28:14,00:01:35,00:53:00,02:46:49
156,47,WORSZTYNOWICZ KAROL,POL,WROCŁAW,BÓL NIE ISTNIEJE,M,M18-29,00:23:17,00:02:22,01:24:08,00:01:42,00:55:23,02:46:52
157,303,GRZYBOWSKA ANETA,POL,POZNAŃ,ZGRUPKA TEAM,K,K40-49,00:19:38,00:02:35,01:27:20,00:01:34,00:55:52,02:46:59
158,23,ŻMIJA DARIUSZ,POL,CHARZYKOWY,TRIPAKA PRZECHLEWO,M,M40-49,00:22:30,00:02:42,01:25:56,00:01:43,00:54:15,02:47:06
159,301,ARENT ALAN,POL,GDANSK,ARENT TEAM,M,M30-39,00:18:02,00:02:57,01:25:07,00:01:43,00:59:30,02:47:19
160,357,KABAT-KOPERSKA JOANNA JANINA,POL,KLINISKO WIELKIE,,K,K40-49,00:18:34,00:01:50,01:29:10,00:01:17,00:56:35,02:47:26
161,69,MACIUSZONEK JACEK,POL,GDAŃSK,3ATHLETE TEAM,M,M40-49,00:20:29,00:01:26,01:27:49,00:01:01,00:56:44,02:47:29
162,21,BOREK DANIEL,POL,KOSZALIN,,M,M30-39,00:21:46,00:03:01,01:21:12,00:01:38,00:59:58,02:47:35
163,39,DULIŃSKA DOROTA,POL,NIEMCZ,TRISPACE,K,K40-49,00:20:54,00:01:44,01:26:50,00:01:18,00:56:52,02:47:38
