miejsce,numer,name,kraj,miejscowosc,team,plec,kat,swim,T1,bike,T2,run,czas
1,315,SWAT SYLWESTER,POL,PRZEŹMIEROWO,SWAT TEAM,M,M18-29,00:13:43,00:01:11,01:05:15,00:01:02,00:43:09,02:04:20
2,251,MISZEWSKI KRZYSZTOF,POL,GDAŃSK,CTS - CZAJA TRAINING SYSTEM / DREAM TRI TEAM,M,M30-39,00:16:23,00:01:01,01:06:29,00:00:44,00:40:08,02:04:45
3,140,MAZUR PAWEŁ,POL,GRUDZIĄDZ,AGROLOK SPORT TEAM/ UKS TRS SUSZ,M,M30-39,00:14:06,00:01:13,01:09:05,00:00:51,00:41:01,02:06:16
4,256,KĘPKA MARCIN,POL,GDAŃSK,DREAM TRI TEAM,M,M30-39,00:15:05,00:01:00,01:06:42,00:00:55,00:42:35,02:06:17
5,338,JUŚKIW PAWEŁ,POL,GDYNIA,3ATHLETE,M,M30-39,00:13:27,00:00:56,01:08:37,00:00:44,00:43:13,02:06:57
6,360,STĘPNIAK ROBERT,POL,NIEMCZ,TRIATHLON POLSKA,M,M50-59,00:14:19,00:00:52,01:10:16,00:00:40,00:41:24,02:07:31
7,228,HERING MATEUSZ,POL,BYTÓW,TRI TEAM BYTÓW / HERING_TRIATHLON,M,M18-29,00:15:05,00:00:57,01:10:24,00:00:43,00:41:27,02:08:36
8,112,ZIĘBA ADAM,POL,BYDGOSZCZ,TRISPACE,M,M40-49,00:17:10,00:01:04,01:08:54,00:00:42,00:41:20,02:09:10
9,191,GRONDZIEWSKI DARIUSZ,POL,SŁUPSK,GVT,M,M30-39,00:13:29,00:01:07,01:09:55,00:01:22,00:44:12,02:10:05
10,390,PIOSIK EMIL,POL,POZNAŃ,,M,M18-29,00:16:27,00:01:17,01:11:24,00:00:58,00:40:46,02:10:52
11,365,KUFEL SZYMON,POL,ŚWIEKATOWO,ENDURE TEAM,M,M18-29,00:17:18,00:02:03,01:07:11,00:01:08,00:43:54,02:11:34
12,346,PRAŁAT FILIP,POL,PIŁA,TRISPACE,M,M30-39,00:15:16,00:01:11,01:10:24,00:00:45,00:44:15,02:11:51
